Kod,Razem,0 – 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 lat i więcej
OGÓŁEM         ,409709,1644,184,213,640,1148,1765,2862,4278,5986,8330,12194,21084,36959,47934,45339,42797,58105,63309,41102,13836
A02.1          ,5,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,1,-,-,-
A02.8          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-
A02.9          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A04.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
A04.4          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
A04.6          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
A04.7          ,758,-,-,-,-,-,1,-,1,3,5,9,12,30,58,64,94,161,192,95,33
A04.8          ,11,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,2,3,2,-
A04.9          ,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
A05.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
A05.9          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
A06.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A08.0          ,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A08.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A08.4          ,3,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-
A08.5          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A09.0          ,6,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,3,-
A09.9          ,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,1,-
A15.0          ,197,-,-,-,-,-,2,4,5,13,19,21,24,33,29,18,5,15,5,4,-
A15.1          ,25,-,-,-,-,-,-,-,-,2,1,1,2,3,3,4,1,4,3,-,1
A15.2          ,3,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-
